Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
51,45.14516461493753,1.292333596881723,Italian,15.1438594384221,0,96,255.77519100040675
22,27.329869958866222,6.816313995796932,American,30.723086607902445,0,10,106.81392747526816
34,33.38682801770355,6.26412522140348,Italian,22.072374786507748,1,77,113.2507774290806
92,47.64950016929546,18.14760329425694,Italian,33.307445862183314,0,21,454.689870181012
82,22.0824200733918,2.903930257693206,Italian,45.61763792004343,1,70,367.80918361430304
47,34.62968087768971,13.492157058324324,American,21.254024874153664,0,95,291.6590379997292
66,42.27400595850344,17.596329718838774,Mexican,13.278629385746488,1,26,384.9893460597854
12,41.5160795316906,2.0961612999514423,Mexican,33.248619099575336,0,90,177.1210592007168
49,11.252092549900649,1.366818710645208,Italian,36.66926119430359,1,36,156.07765441452707
79,10.103360593799296,10.982606725543452,American,41.67972133622839,1,43,304.3043918081144
59,15.564647765722476,19.765505420002626,Italian,34.19357717450325,0,45,325.1018810547656
88,23.37451245241929,2.158874292929287,Japanese,20.94793830713484,1,84,333.82179836985694
93,19.09429200384395,15.415612365277596,Italian,43.49798380333847,1,77,298.46702631843374
21,33.74154276492589,13.95512552146859,Japanese,30.386258032150423,0,7,227.77388984440967
40,22.485922267857884,11.585327076410536,Mexican,44.4267128715554,1,95,191.901281374618
39,11.503870928250436,9.203245289768793,Italian,29.31405097640419,1,23,139.5220891046044
83,45.348386786430105,10.233627731630236,Japanese,16.423747801732343,0,53,429.6379120449859
10,16.480555115663385,1.1227220683242,Japanese,40.11394623528825,0,27,46.67513578206662
31,28.995461740248743,5.084627674973912,Japanese,13.184203079700223,0,2,109.67677945189428
72,15.029660472265952,3.031685857397599,American,27.14577116834127,1,22,246.74985639351164
57,24.587889978292235,6.765262106646968,American,27.545900009842192,1,77,187.79778054293777
82,36.67886067963629,14.691558462428263,Mexican,29.56909018999677,0,86,470.9541907901299
26,33.77163002247099,17.142591197125647,Japanese,30.365416516863966,1,98,204.5062030794445
69,29.454299279824312,18.856622828265238,Mexican,16.584820529460195,0,2,433.9088068641241
50,13.550695764310738,8.447690443686117,Mexican,41.865794760605525,0,99,195.3917426268684
81,41.98148523678063,4.65291077125362,Japanese,22.600420287336984,1,91,326.52976287588587
22,40.28237070444894,4.683688936309713,Italian,17.71482274758457,0,55,249.751545604682
55,25.66520562161424,18.932759083992146,Mexican,36.18901393993772,1,85,364.0336257589168
79,10.049467190376378,16.88497404811637,Japanese,17.282525155274215,1,91,362.8129601185046
32,49.37405629611616,3.296493506935241,Japanese,39.920643067976094,1,61,239.9972406336457
76,38.62213260936968,15.08215360632328,Japanese,27.818117189371517,1,27,484.95084820279385
49,12.985192573483268,16.595262405752898,Italian,41.108699562902025,1,17,229.95311985157767
93,16.357531331070263,14.153766526612374,Mexican,33.8573581850264,1,23,220.9561244199702
44,34.66418327449896,4.370196687082606,Japanese,44.240042995726114,0,88,216.1822969686598
71,49.90770463695373,12.92180246925016,American,38.57656405881991,0,12,485.2402705928059
89,39.65843644556182,7.428171353002815,Japanese,12.436077323979733,0,50,442.8549584894769
68,24.15485506244998,12.751065289404597,Italian,21.07479877968049,1,14,328.65513309755346
14,43.17329620565135,6.604855586728107,Mexican,14.760852179725642,1,5,87.77458858327913
41,41.19035099152123,13.260840090009845,American,15.56987378376438,1,58,269.64421795071496
15,33.23028828909311,5.811751196127101,American,14.622335067225269,0,39,155.76366684324944
70,43.00530706771189,4.416052595712783,Italian,18.984097602995394,1,59,348.19057312560795
68,35.80216671077318,4.508775109273877,American,49.10359841380173,1,58,261.2324669349032
77,13.646579616247667,5.705806767146329,Italian,29.89015546363512,0,57,402.90546230616815
32,30.923388983271387,14.661023797199867,Italian,10.285683270729802,1,96,86.55486645231294
85,32.42708776014056,6.173974867463905,Japanese,49.09985032835573,0,66,346.2718971785027
90,11.3551664098638,3.132768739476166,Japanese,27.127357594686917,1,80,204.7213792899367
21,45.26548531081401,18.107197485557407,Italian,21.294716761706248,1,29,185.6755560035913
83,12.756861574688752,19.83176817740548,Japanese,42.64316169373405,1,35,367.6532908923892
96,16.62082041469159,16.610689128096798,Japanese,12.28468653481773,0,23,563.3813323600473
91,36.79669858200157,11.239856949336136,American,44.51689574043956,1,12,382.712417879954
81,14.912431273829352,8.242618605255432,American,35.53955139196542,0,40,308.4835922258233
85,21.89420192947356,17.585102296927694,Japanese,19.296161848576524,0,30,296.13816104382187
93,45.8685715936049,14.680595251786126,Japanese,34.602585194312454,1,67,344.19937514922776
92,23.342781978888016,18.143996431212447,American,23.43373948157264,1,13,542.4672823869804
95,47.26357953275959,2.4486779671788206,Italian,40.37243420600821,1,86,480.754513825222
57,10.009500943035384,4.522941031798816,American,11.709584242478057,0,80,244.5486957688682
98,41.8719131145611,13.17650140280141,Mexican,23.032983360777948,1,12,449.07444150161103
64,13.717165775175598,12.686794794224085,Japanese,15.256495314210738,1,21,305.9501209362709
33,16.372160824759213,9.519354620233118,Italian,32.01405115355004,0,89,213.3339110133025
92,19.42766984259999,13.114473451233126,American,43.09994966542693,1,10,399.8675067311068
26,34.02438170184944,16.33513860239056,Italian,36.1434708017768,1,48,246.46613191438288
32,28.94295553740354,17.48453448276703,Mexican,34.05536282754254,1,56,202.6176116616105
24,26.580183368145107,1.3850861257171987,Italian,34.814850084948844,0,81,128.44033631082158
46,10.210152742335396,2.626988162898134,Italian,20.98026694028313,1,52,120.22694975970931
36,45.367959125260114,5.648617973730234,Japanese,17.438460302296708,1,81,144.5060822037692
27,23.48908531021681,18.3358338140467,American,37.5335364618626,0,77,349.0280255966162
84,34.69407029651897,6.66814644318221,Japanese,42.82178590983949,1,79,378.5244391757666
25,30.609916972589037,7.262014732680209,Japanese,37.86245608576185,1,91,109.2163583436682
65,36.20037355328434,16.580354650909822,American,30.66510367417101,1,92,335.6903100622943
23,29.647453634745062,17.94372681929238,Japanese,46.96291955382733,1,38,197.8172020101876
52,40.91291120067218,10.6535177352311,Japanese,21.98674735365963,0,48,264.9095347708384
82,32.29221475560192,5.47582615028213,Italian,10.272587916005126,1,76,229.26251142238368
73,16.819117526956703,2.3204536269633858,Mexican,40.023938269765054,0,15,268.7095591895363
20,43.66118641240173,17.054560397514223,Italian,39.31436749327324,0,65,202.2323644923451
82,17.418354987066174,14.751314981856536,Italian,18.279744049802325,0,45,371.6100960898002
97,33.53226703180226,8.095968581703996,Italian,37.97357865010572,0,98,272.7935167604014
67,28.84261810775257,3.3377023570974185,American,12.836638379519169,0,16,366.2391636185893
98,16.466901765872105,14.351442494631888,Japanese,14.569485543655832,1,53,405.95162909794885
24,46.42744793022853,7.096827205137808,Mexican,15.317121708319306,0,79,250.17651834671145
13,31.976569537218133,4.807647773989676,Mexican,42.90811686868825,1,23,205.38729120898049
49,41.35330213675448,0.8970713604713731,Japanese,44.08849564806696,0,94,149.91371040141212
52,16.653264309725685,16.39595609969455,American,25.03409860727917,0,87,302.99090284753544
99,46.62054709167656,4.058727351498044,American,10.065750284497987,1,83,404.5022097358506
89,32.23226325748719,1.7284922152509297,Italian,23.03525370463161,1,77,330.39417513411223
11,31.18646714620324,6.44216008458371,American,31.102545959976798,1,98,57.31941976618465
30,19.382451733393147,16.770984298056565,Italian,25.965044017798643,0,33,239.54694932850717
99,46.14895868701082,15.966883764486566,Italian,18.39590518344923,1,23,459.0697422758067
95,42.74717681999367,1.4534174322003257,Mexican,29.49537766688172,0,97,346.9235191772644
95,43.52427852713184,15.331770479432867,American,45.80226415999333,0,93,409.3034161140818
10,22.90111911385661,13.337333211018434,Italian,25.235614504986504,1,73,107.74970469587976
93,38.85688269314927,9.363082826020609,American,41.45326621580162,1,63,438.0029383429136
86,17.78233292741204,12.889405542420674,Japanese,13.012057343938787,0,38,256.15926464611687
21,27.69195049523641,1.4848174597677288,Mexican,23.346435625347706,1,78,111.08730772086828
42,38.34288018410518,13.015370951174948,Japanese,41.65137169986734,0,7,275.2114983817144
18,12.59945637931576,7.94762780970633,Japanese,39.38834281060103,0,71,126.59930765459144
43,44.0965863679459,7.795187748529841,Mexican,11.642726911616217,0,8,261.27154614450905
84,16.470568454084386,12.95426342125843,Mexican,15.558759675464984,1,27,279.63450382848424
32,37.95962952158351,14.381548947077112,Japanese,19.60877732833542,1,9,291.0891078603849
84,46.31464521850064,14.486349393533224,Italian,28.921100133720827,1,1,417.1586067140847
22,30.220315164241352,11.543455665751,Italian,13.370215096718852,0,34,160.47992979762373
93,48.9879940748276,12.792111223553636,Mexican,22.25071548018459,1,77,466.158302250869
73,40.26543215139739,0.6223119983471537,Japanese,30.080327909567288,0,39,310.2675784107685
33,28.74157667074337,19.45552645784172,American,29.3875806774523,0,97,167.10266491034585
28,16.29362638810104,16.385102097429222,Japanese,42.49304720988246,0,67,165.25383554376373
39,15.95967423880779,19.922458992788822,Mexican,39.075076245590864,1,92,377.7741581318717
56,42.74940016297081,0.8601390373387896,Italian,43.99785983780754,0,97,348.6973191780488
46,20.867478842760164,15.739402698353327,Japanese,43.456836919425584,0,46,286.19980548185845
96,34.51776699462424,7.935936941726329,Italian,39.99814727209632,1,23,281.962017401423
88,44.93346646895391,14.609927219175804,Japanese,42.87009667941562,1,11,436.2816218882916
66,37.72775763290724,10.740149767027168,Japanese,21.185452739728248,0,54,334.13799569221544
38,36.01176743493816,13.418860094850158,Italian,23.49067584216905,0,22,204.0202547632418
32,19.02160569774942,13.889009122614176,Italian,39.59471306401614,1,9,201.4229832108772
83,41.33690903766458,16.36413337496495,Mexican,25.51337078284377,1,30,358.2770184846883
35,31.289799553051964,12.1375468315386,Italian,13.96918384378587,0,61,292.11495763697485
60,10.362896186108998,19.834852343356776,Japanese,13.48437157845736,1,73,361.5529383223986
78,27.289631355700493,4.310597375826637,American,43.17540600569498,0,96,205.16181952395203
20,26.175260061960973,14.67231660084625,Italian,44.12969876788471,0,86,193.0134802572453
41,48.256627902377,15.014590139986945,American,36.53450136058726,0,92,263.8036196105896
83,14.52439276306292,11.659688523292049,American,44.02016913314388,0,58,404.83933031782186
62,42.60217713609829,12.72981302098308,Italian,16.8638546826076,1,63,325.5445588072106
23,14.16987864207238,18.846307793463858,Japanese,39.43671814207955,0,68,140.84625410048403
61,49.157257424638445,8.268328985905228,Japanese,19.251197132638215,1,79,371.7087957817881
76,30.89738304284676,2.899301447596341,Italian,12.457005170393307,1,97,406.3648505326446
71,34.247548542446864,12.757541853272675,American,49.73060785718986,1,7,338.4156567452159
88,14.356733673869256,9.529667675565854,Japanese,11.21663523231872,1,80,373.30181170110814
90,18.014365741948506,17.54478914324401,Italian,47.5485854149614,1,79,333.5772184692328
